Artist|Spotify ID|Genres
Ricky Nelson|73sSFVlM6pkweLXE8qw1OS|['adult standards', 'brill building pop', 'bubblegum pop', 'christmas', 'doo-wop', 'folk rock', 'lounge', 'merseybeat', 'nashville sound', 'rhythm and blues', 'rock-and-roll', 'rockabilly']
Domenico Modugno|4llklDtTTyMYMY2LfFOkTI|['classic italian pop', 'italian pop']
Bobby Darin|0EodhzA6yW1bIdD5B4tcmJ|['adult standards', 'brill building pop', 'christmas', 'easy listening', 'lounge', 'rock-and-roll', 'rockabilly', 'soul', 'swing', 'vocal jazz']
Kalin Twins|6LXtFndRkOihPIa2dWY3FH|[]
Jack Scott|4ucP0bNegd7Q4ewdOKIBfz|['brill building pop', 'deep adult standards', 'doo-wop', 'rock-and-roll', 'rockabilly']
Elvis Presley|43ZHCT0cAZBISjO8DG9PnE|['christmas', 'rock-and-roll', 'rockabilly']
Duane Eddy|1I5Cu7bqjkRg85idwYsD91|['adult standards', 'brill building pop', 'christmas', 'doo-wop', 'rhythm and blues', 'rock-and-roll', 'rockabilly', 'surf music']
Jimmy Clanton|2XZXvrqedRMiKv6UWjAT4B|['brill building pop', 'doo-wop', 'rhythm and blues', 'swamp pop']
The Coasters|3QZKZBEmr54lAVI5XvmjnM|['adult standards', 'brill building pop', 'christmas', 'doo-wop', 'lounge', 'motown', 'rhythm and blues', 'rock-and-roll', 'rockabilly', 'soul']
Pat Boone|7fmKtIgmxqNEKjATioVNsu|['adult standards', 'brill building pop', 'christmas', 'easy listening', 'lounge', 'rock-and-roll', 'rockabilly']
Peggy Lee|602DnpaSXJB4b9DZrvxbDc|['adult standards', 'cabaret', 'christmas', 'lounge', 'swing', 'vocal jazz']
The Elegants|7bNoMfBqbaLJrfH3Vw1q6L|['doo-wop', 'rhythm and blues']
Frankie Avalon|5zNOI87gG4RttFmYAZWaxQ|['adult standards', 'brill building pop', 'bubblegum pop', 'christmas', 'doo-wop', 'rock-and-roll', 'rockabilly']
Doris Day|3ESG6pj6a0LvUKklENalT6|['adult standards', 'brill building pop', 'cabaret', 'christmas', 'easy listening', 'lounge', 'vocal jazz']
The Danleers|1W0oUYvRe6jjI2SuaiigFv|['doo-wop']
Patti Page|4nZN9kln8toEzOifhWG2uF|['adult standards', 'brill building pop', 'cabaret', 'christmas', 'deep adult standards', 'easy listening', 'lounge', 'nashville sound']
Jody Reynolds|4j07I8NDDAMIy4BWc6aqOj|[]
